q1_name,df_id,df_name,is_oa
PROCEEDINGS OF THE NUTRITION SOCIETY,https://openalex.org/S4210187764,Proceedings of The Nutrition Society,False
Annual Review of Genomics and Human Genetics,https://openalex.org/S8095556,Annual Review of Genomics and Human Genetics,False
CANCER AND METASTASIS REVIEWS,https://openalex.org/S114927911,Cancer and Metastasis Reviews,False
Advances in Physics-X,https://openalex.org/S4210225969,Advances in Physics X,True
European Journal of Psychology Applied to Legal Context,https://openalex.org/S4210176254,The European Journal of Psychology Applied to Legal Context,True
PSYCHOLOGICAL METHODS,https://openalex.org/S45419345,Psychological Methods,False
REVIEW OF ECONOMICS AND STATISTICS,https://openalex.org/S180061323,The Review of Economics and Statistics,False
Oeconomia Copernicana,https://openalex.org/S2738677470,Oeconomia Copernicana,True
JOURNAL OF FINANCE,https://openalex.org/S5353659,The Journal of Finance,False
TELEMATICS AND INFORMATICS,https://openalex.org/S25720340,Telematics and Informatics,False
Horticulture Research,https://openalex.org/S2764753230,Horticulture Research,True
Journal of the National Cancer Center,https://openalex.org/S4210221649,Journal of the National Cancer Center,True
ECOLOGY LETTERS,https://openalex.org/S80967739,Ecology Letters,False
Journal of Hospitality and Tourism Management,https://openalex.org/S187788904,Journal of Hospitality and Tourism Management,False
Brain Stimulation,https://openalex.org/S177350161,Brain stimulation,True
Plant Phenomics,https://openalex.org/S4210217755,Plant Phenomics,True
TRANSPORTATION RESEARCH PART C-EMERGING TECHNOLOGIES,https://openalex.org/S64511102,Transportation Research Part C Emerging Technologies,False
EUROPEAN JOURNAL OF CANCER,https://openalex.org/S16731738,European Journal of Cancer,False
International Journal of Applied Earth Observation and Geoinformation,https://openalex.org/S4210179989,International Journal of Applied Earth Observation and Geoinformation,True
ENVIRONMENTAL POLLUTION,https://openalex.org/S201530359,Environmental Pollution,False
NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS,https://openalex.org/S170052170,Neuroscience & Biobehavioral Reviews,False
Chemical Science,https://openalex.org/S184645833,Chemical Science,True
MATERIALS & DESIGN,https://openalex.org/S8792693,Materials & Design,True
Annual Review of Chemical and Biomolecular Engineering,https://openalex.org/S161759566,Annual Review of Chemical and Biomolecular Engineering,False
ANAESTHESIA,https://openalex.org/S7689096,Anaesthesia,False
INTERNATIONAL JOURNAL OF NURSING STUDIES,https://openalex.org/S56493663,International Journal of Nursing Studies,False
International Review of Financial Analysis,https://openalex.org/S145572626,International Review of Financial Analysis,False
IEEE Transactions on Big Data,https://openalex.org/S2491400915,IEEE Transactions on Big Data,False
BASIC RESEARCH IN CARDIOLOGY,https://openalex.org/S133907260,Basic Research in Cardiology,False
IEEE TRANSACTIONS ON INDUSTRIAL ELECTRONICS,https://openalex.org/S58031724,IEEE Transactions on Industrial Electronics,False
NBER Macroeconomics Annual,https://openalex.org/S127060114,NBER Macroeconomics Annual,False
INTERNATIONAL JOURNAL OF ROBOTICS RESEARCH,https://openalex.org/S73484101,The International Journal of Robotics Research,False
IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,https://openalex.org/S111326731,IEEE Transactions on Geoscience and Remote Sensing,False
GENES & DEVELOPMENT,https://openalex.org/S168778273,Genes & Development,True
RESEARCH POLICY,https://openalex.org/S9731383,Research Policy,False
ENGINEERING APPLICATIONS OF ARTIFICIAL INTELLIGENCE,https://openalex.org/S900972176,Engineering Applications of Artificial Intelligence,False
Digital Communications and Networks,https://openalex.org/S2495769766,Digital Communications and Networks,True
European Management Journal,https://openalex.org/S105567970,European Management Journal,False
EXPERT SYSTEMS WITH APPLICATIONS,https://openalex.org/S13144211,Expert Systems with Applications,False
PATTERN RECOGNITION,https://openalex.org/S414566,Pattern Recognition,False
INTERNATIONAL JOURNAL OF MANAGEMENT REVIEWS,https://openalex.org/S87745625,International Journal of Management Reviews,False
CHINESE MEDICAL JOURNAL,https://openalex.org/S22240167,Chinese Medical Journal,True
Cell Reports,https://openalex.org/S169236886,Cell Reports,True
Communications Materials,https://openalex.org/S4210233566,Communications Materials,True
ChemSusChem,https://openalex.org/S193447295,ChemSusChem,False
Applied Surface Science Advances,https://openalex.org/S4210213426,Applied Surface Science Advances,True
CURRENT OPINION IN PSYCHIATRY,https://openalex.org/S15258550,Current Opinion in Psychiatry,False
IMMUNOLOGICAL REVIEWS,https://openalex.org/S133112385,Immunological Reviews,False
ACS ES&T Engineering,https://openalex.org/S4210211913,ACS ES&T Engineering,True
Annual Review of Statistics and Its Application,https://openalex.org/S4210217375,Annual Review of Statistics and Its Application,False
Finance Research Letters,https://openalex.org/S88577320,Finance research letters,False
CURRENT DIRECTIONS IN PSYCHOLOGICAL SCIENCE,https://openalex.org/S114020440,Current Directions in Psychological Science,False
INFORMATION PROCESSING & MANAGEMENT,https://openalex.org/S174847851,Information Processing & Management,False
LONG RANGE PLANNING,https://openalex.org/S9435936,Long Range Planning,False
SERVICE INDUSTRIES JOURNAL,https://openalex.org/S49331332,Service Industries Journal,False
IEEE Transactions on Cognitive Communications and Networking,https://openalex.org/S2484188435,IEEE Transactions on Cognitive Communications and Networking,False
Current Environmental Health Reports,https://openalex.org/S2764659263,Current Environmental Health Reports,False
MOVEMENT DISORDERS,https://openalex.org/S163027424,Movement Disorders,False
ARTERIOSCLEROSIS THROMBOSIS AND VASCULAR BIOLOGY,https://openalex.org/S3485792,Arteriosclerosis Thrombosis and Vascular Biology,False
Blood Advances,https://openalex.org/S2764683450,Blood Advances,True
INTERNATIONAL JOURNAL OF PROJECT MANAGEMENT,https://openalex.org/S69872077,International Journal of Project Management,False
CORROSION SCIENCE,https://openalex.org/S96167972,Corrosion Science,False
TRANSPORTATION RESEARCH PART D-TRANSPORT AND ENVIRONMENT,https://openalex.org/S45181156,Transportation Research Part D Transport and Environment,False
Journal of Enterprise Information Management,https://openalex.org/S141478581,Journal of Enterprise Information Management,False
CNS DRUGS,https://openalex.org/S153913659,CNS Drugs,False
Construction and Building Materials,https://openalex.org/S29980478,Construction and Building Materials,False
Food Frontiers,https://openalex.org/S4210228674,Food Frontiers,True
BRITISH MEDICAL BULLETIN,https://openalex.org/S163102221,British Medical Bulletin,False
Business & Information Systems Engineering,https://openalex.org/S27339233,Business & Information Systems Engineering,False
Journal of Traffic and Transportation Engineering-English Edition,https://openalex.org/S4210170470,Journal of Traffic and Transportation Engineering (English Edition),True
Journal of Environmental Chemical Engineering,https://openalex.org/S2764859491,Journal of environmental chemical engineering,False
SCIENCE AND TECHNOLOGY OF ADVANCED MATERIALS,https://openalex.org/S154646843,Science and Technology of Advanced Materials,True
PROGRESS IN QUANTUM ELECTRONICS,https://openalex.org/S83014014,Progress in Quantum Electronics,False
SEMINARS IN IMMUNOLOGY,https://openalex.org/S161731549,Seminars in Immunology,False
TRENDS IN CARDIOVASCULAR MEDICINE,https://openalex.org/S37062379,Trends in Cardiovascular Medicine,False
EUROPEAN JOURNAL OF INFORMATION SYSTEMS,https://openalex.org/S116712389,European Journal of Information Systems,False
JOURNAL OF CLINICAL EPIDEMIOLOGY,https://openalex.org/S64418186,Journal of Clinical Epidemiology,False
JOURNAL OF HEADACHE AND PAIN,https://openalex.org/S143427143,The Journal of Headache and Pain,True
Tourism Management Perspectives,https://openalex.org/S2764590662,Tourism Management Perspectives,False
PHYTOCHEMISTRY REVIEWS,https://openalex.org/S125094086,Phytochemistry Reviews,False
Tourism Review,https://openalex.org/S41803262,Tourism Review,False
Earths Future,https://openalex.org/S2764782578,Earth s Future,True
International Soil and Water Conservation Research,https://openalex.org/S2764733428,International Soil and Water Conservation Research,True
ENGINEERING WITH COMPUTERS,https://openalex.org/S89333158,Engineering With Computers,False
Science China-Information Sciences,https://openalex.org/S4210218743,Science China Information Sciences,False
Microsystems & Nanoengineering,https://openalex.org/S2739050901,Microsystems & Nanoengineering,True
Journal of Manufacturing Technology Management,https://openalex.org/S144472306,Journal of Manufacturing Technology Management,False
QJM-AN INTERNATIONAL JOURNAL OF MEDICINE,https://openalex.org/S139075330,QJM,False
JOURNAL OF CELL BIOLOGY,https://openalex.org/S96410829,The Journal of Cell Biology,False
CRITICAL REVIEWS IN FOOD SCIENCE AND NUTRITION,https://openalex.org/S70620193,Critical Reviews in Food Science and Nutrition,False
PROGRESS IN NUCLEAR MAGNETIC RESONANCE SPECTROSCOPY,https://openalex.org/S11006672,Progress in Nuclear Magnetic Resonance Spectroscopy,False
ANNUAL REVIEWS IN CONTROL,https://openalex.org/S54761077,Annual Reviews in Control,False
Research Integrity and Peer Review,https://openalex.org/S4210167556,Research Integrity and Peer Review,True
GENDER & SOCIETY,https://openalex.org/S113116626,Gender & Society,False
International Forum of Allergy & Rhinology,https://openalex.org/S2506670899,International Forum of Allergy & Rhinology,False
Social Issues and Policy Review,https://openalex.org/S108587369,Social Issues and Policy Review,False
Osteoarthritis and Cartilage,https://openalex.org/S13054843,Osteoarthritis and Cartilage,False
Particle and Fibre Toxicology,https://openalex.org/S189275214,Particle and Fibre Toxicology,True
Academy of Management Perspectives,https://openalex.org/S33741590,Academy of Management Perspectives,False
ECONOMIC GEOGRAPHY,https://openalex.org/S38825547,Economic Geography,False
IEEE TRANSACTIONS ON COMMUNICATIONS,https://openalex.org/S196647941,IEEE Transactions on Communications,False
Gondwana Research,https://openalex.org/S158567263,Gondwana Research,False
HYPERTENSION,https://openalex.org/S67880631,Hypertension,False
JOURNAL OF CORPORATE FINANCE,https://openalex.org/S152282257,Journal of Corporate Finance,False
COMPUTER PHYSICS COMMUNICATIONS,https://openalex.org/S142305363,Computer Physics Communications,False
EMERGING INFECTIOUS DISEASES,https://openalex.org/S189281586,Emerging infectious diseases,True
IEEE Transactions on Transportation Electrification,https://openalex.org/S4306422867,IEEE Transactions on Transportation Electrification,False
Petroleum Exploration and Development,https://openalex.org/S142630227,Petroleum Exploration and Development,True
International Journal of Logistics Management,https://openalex.org/S97048498,The International Journal of Logistics Management,False
PSYCHOLOGICAL INQUIRY,https://openalex.org/S16647404,Psychological Inquiry,False
MAYO CLINIC PROCEEDINGS,https://openalex.org/S58241369,Mayo Clinic Proceedings,False
APPLIED SOFT COMPUTING,https://openalex.org/S140556538,Applied Soft Computing,False
Applied Materials Today,https://openalex.org/S2764609219,Applied Materials Today,False
KNOWLEDGE-BASED SYSTEMS,https://openalex.org/S10169007,Knowledge-Based Systems,False
JOURNAL OF CLINICAL IMMUNOLOGY,https://openalex.org/S57504206,Journal of Clinical Immunology,False
CHEMISTRY OF MATERIALS,https://openalex.org/S66104727,Chemistry of Materials,False
EUROPEAN PSYCHIATRY,https://openalex.org/S87202501,European Psychiatry,True
Future Foods,https://openalex.org/S4210190877,Future Foods,True
Water Research X,https://openalex.org/S4210208646,Water Research X,True
Journal of CO2 Utilization,https://openalex.org/S4210172371,Journal of CO2 Utilization,True
ACM Transactions on Intelligent Systems and Technology,https://openalex.org/S2492086750,ACM Transactions on Intelligent Systems and Technology,False
FUEL PROCESSING TECHNOLOGY,https://openalex.org/S112051168,Fuel Processing Technology,True
QUARTERLY REVIEWS OF BIOPHYSICS,https://openalex.org/S148645025,Quarterly Reviews of Biophysics,False
AMERICAN SOCIOLOGICAL REVIEW,https://openalex.org/S157620343,American Sociological Review,False
CLINICAL CHEMISTRY,https://openalex.org/S139212996,Clinical Chemistry,False
MODERN PATHOLOGY,https://openalex.org/S33606366,Modern Pathology,False
Photoacoustics,https://openalex.org/S2898295080,Photoacoustics,True
BMC Medicine,https://openalex.org/S135560524,BMC Medicine,True
INTERNATIONAL JOURNAL OF MECHANICAL SCIENCES,https://openalex.org/S72716621,International Journal of Mechanical Sciences,False
INTERNATIONAL JOURNAL OF OPERATIONS & PRODUCTION MANAGEMENT,https://openalex.org/S164321952,International Journal of Operations & Production Management,False
Cellular and Molecular Gastroenterology and Hepatology,https://openalex.org/S2764889447,Cellular and Molecular Gastroenterology and Hepatology,True
ECOLOGICAL MONOGRAPHS,https://openalex.org/S201386569,Ecological Monographs,False
European Research on Management and Business Economics,https://openalex.org/S2898275063,European Research on Management and Business Economics,True
BMJ Global Health,https://openalex.org/S2764928273,BMJ Global Health,True
FREE RADICAL BIOLOGY AND MEDICINE,https://openalex.org/S128018148,Free Radical Biology and Medicine,False
Journal of Cheminformatics,https://openalex.org/S180838163,Journal of Cheminformatics,True
COMPUTERS ENVIRONMENT AND URBAN SYSTEMS,https://openalex.org/S60115552,Computers Environment and Urban Systems,False
Electronic Markets,https://openalex.org/S137519996,Electronic Markets,False
ESMO Open,https://openalex.org/S4210217024,ESMO Open,True
Stem Cell Research & Therapy,https://openalex.org/S2061155,Stem Cell Research & Therapy,True
Energy Conversion and Management-X,https://openalex.org/S4210191901,Energy Conversion and Management X,True
ACS Sustainable Chemistry & Engineering,https://openalex.org/S2502047864,ACS Sustainable Chemistry & Engineering,False
BUILDING AND ENVIRONMENT,https://openalex.org/S56464651,Building and Environment,False
Sustainable Energy Technologies and Assessments,https://openalex.org/S2764877105,Sustainable Energy Technologies and Assessments,False
Materials Today Sustainability,https://openalex.org/S4210183045,Materials Today Sustainability,False
Waste Management,https://openalex.org/S19266977,Waste Management,False
CURRENT OPINION IN BIOTECHNOLOGY,https://openalex.org/S23939942,Current Opinion in Biotechnology,False
Topics in Current Chemistry,https://openalex.org/S106859309,Topics in Current Chemistry,False
Lancet Regional Health-Americas,https://openalex.org/S4210194528,The Lancet Regional Health - Americas,True
IEEE Transactions on Dependable and Secure Computing,https://openalex.org/S133795288,IEEE Transactions on Dependable and Secure Computing,False
INVESTIGATIVE RADIOLOGY,https://openalex.org/S136338150,Investigative Radiology,False
INTERNATIONAL JOURNAL OF ROCK MECHANICS AND MINING SCIENCES,https://openalex.org/S129124101,International Journal of Rock Mechanics and Mining Sciences,False
COMPUTERS IN BIOLOGY AND MEDICINE,https://openalex.org/S44278595,Computers in Biology and Medicine,False
Ecological Indicators,https://openalex.org/S194154261,Ecological Indicators,True
Annual Review of Biomedical Data Science,https://openalex.org/S4210232080,Annual Review of Biomedical Data Science,False
Molecular Metabolism,https://openalex.org/S2764545133,Molecular Metabolism,True
MIS QUARTERLY,https://openalex.org/S57293258,MIS Quarterly,False
Smart Cities,https://openalex.org/S4210184358,Smart Cities,True
JOURNAL OF MANAGEMENT STUDIES,https://openalex.org/S151705444,Journal of Management Studies,False
npj Vaccines,https://openalex.org/S4210235625,npj Vaccines,True
FOOD RESEARCH INTERNATIONAL,https://openalex.org/S38919146,Food Research International,False
Journal of the Association for Information Systems,https://openalex.org/S30879505,Journal of the Association for Information Systems,False
Aging and Disease,https://openalex.org/S2738790859,Aging and Disease,True
INTERNATIONAL JOURNAL OF PRODUCTION RESEARCH,https://openalex.org/S65690446,International Journal of Production Research,False
TRENDS IN PARASITOLOGY,https://openalex.org/S182404557,Trends in Parasitology,False
CHEMICAL RECORD,https://openalex.org/S134994606,The Chemical Record,False
Chinese Journal of Cancer Research,https://openalex.org/S26659863,Chinese Journal of Cancer Research,True
Journal of Physics-Energy,https://openalex.org/S4210231992,Journal of Physics Energy,True
RUSSIAN CHEMICAL REVIEWS,https://openalex.org/S91809018,Russian Chemical Reviews,False
JOURNAL OF POLITICAL ECONOMY,https://openalex.org/S95323914,Journal of Political Economy,False
INTERNATIONAL JOURNAL OF FORECASTING,https://openalex.org/S39841227,International Journal of Forecasting,False
JOURNAL OF ECONOMIC PERSPECTIVES,https://openalex.org/S72880728,The Journal of Economic Perspectives,True
Financial Innovation,https://openalex.org/S3034727917,Financial Innovation,True
COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,https://openalex.org/S40006715,Computer Methods in Applied Mechanics and Engineering,False
JOURNAL OF MEDICINAL CHEMISTRY,https://openalex.org/S162030435,Journal of Medicinal Chemistry,False
ENGINEERING GEOLOGY,https://openalex.org/S65957803,Engineering Geology,False
Operations Management Research,https://openalex.org/S62905163,Operations Management Research,False
Blockchain-Research and Applications,https://openalex.org/S4210227578,Blockchain Research and Applications,True
INFORMATION SYSTEMS FRONTIERS,https://openalex.org/S181659395,Information Systems Frontiers,False
IEEE Journal of Microwaves,https://openalex.org/S4210184428,IEEE Journal of Microwaves,True
International Journal of Coal Science & Technology,https://openalex.org/S2738503445,International Journal of Coal Science & Technology,True
Journal of Sustainable Tourism,https://openalex.org/S167854760,Journal of Sustainable Tourism,False
BULLETIN OF THE AMERICAN METEOROLOGICAL SOCIETY,https://openalex.org/S140302479,Bulletin of the American Meteorological Society,False
BIOMEDICINE & PHARMACOTHERAPY,https://openalex.org/S15111687,Biomedicine & Pharmacotherapy,True
REVIEWS IN ENDOCRINE & METABOLIC DISORDERS,https://openalex.org/S4210219483,Reviews in Endocrine and Metabolic Disorders,False
Cleaner Logistics and Supply Chain,https://openalex.org/S4210223519,Cleaner Logistics and Supply Chain,False
Energy Research & Social Science,https://openalex.org/S2764593084,Energy Research & Social Science,False
ONCOGENE,https://openalex.org/S128439998,Oncogene,False
ACTA PHARMACOLOGICA SINICA,https://openalex.org/S4210186974,Acta Pharmacologica Sinica,False
JOURNAL OF GASTROENTEROLOGY,https://openalex.org/S41046285,Journal of Gastroenterology,False
ARCHIVES OF PHARMACAL RESEARCH,https://openalex.org/S119001223,Archives of Pharmacal Research,False
Cold Spring Harbor Perspectives in Biology,https://openalex.org/S160223955,Cold Spring Harbor Perspectives in Biology,False
CSEE Journal of Power and Energy Systems,https://openalex.org/S2764607435,CSEE Journal of Power and Energy Systems,True
Genes & Diseases,https://openalex.org/S2764642421,Genes & Diseases,True
BLOOD REVIEWS,https://openalex.org/S169446993,Blood Reviews,False
MASS SPECTROMETRY REVIEWS,https://openalex.org/S69764086,Mass Spectrometry Reviews,False
PROCESS SAFETY AND ENVIRONMENTAL PROTECTION,https://openalex.org/S166351637,Process Safety and Environmental Protection,False
CURRENT OPINION IN CHEMICAL BIOLOGY,https://openalex.org/S35563517,Current Opinion in Chemical Biology,False
Wiley Interdisciplinary Reviews-Nanomedicine and Nanobiotechnology,https://openalex.org/S132212666,Wiley Interdisciplinary Reviews Nanomedicine and Nanobiotechnology,False
Alcohol Research-Current Reviews,https://openalex.org/S4393917488,Alcohol research & health,False
REVIEW OF FINANCIAL STUDIES,https://openalex.org/S170137484,Review of Financial Studies,False
JOURNAL OF INTERACTIVE MARKETING,https://openalex.org/S92709572,Journal of Interactive Marketing,False
Annual Review of Economics,https://openalex.org/S196715598,Annual Review of Economics,False
BRIEFINGS IN BIOINFORMATICS,https://openalex.org/S91767247,Briefings in Bioinformatics,True
IEEE NETWORK,https://openalex.org/S186584794,IEEE Network,False
FOOD POLICY,https://openalex.org/S63571384,Food Policy,False
METABOLIC ENGINEERING,https://openalex.org/S173328182,Metabolic Engineering,False
ANALYTICAL CHEMISTRY,https://openalex.org/S191963794,Analytical Chemistry,False
BRITISH JOURNAL OF PHARMACOLOGY,https://openalex.org/S55107261,British Journal of Pharmacology,False
Journal of Ginseng Research,https://openalex.org/S195727172,Journal of Ginseng Research,True
JOURNAL OF MEDICAL VIROLOGY,https://openalex.org/S49828768,Journal of Medical Virology,False
Plant Stress,https://openalex.org/S4210194692,Plant Stress,True
Annals of the American Thoracic Society,https://openalex.org/S128617280,Proceedings of the American Thoracic Society,False
npj Precision Oncology,https://openalex.org/S4210211538,npj Precision Oncology,True
Journal of Purchasing and Supply Management,https://openalex.org/S55239356,Journal of Purchasing and Supply Management,False
Diabetes & Metabolism Journal,https://openalex.org/S2737757294,Diabetes & Metabolism Journal,True
Journal of Xenobiotics,https://openalex.org/S4210179895,Journal of Xenobiotics,True
Science Signaling,https://openalex.org/S155937366,Science Signaling,False
Science China-Materials,https://openalex.org/S2764782236,Science China Materials,False
International Journal of Bioprinting,https://openalex.org/S4210170791,International Journal of Bioprinting,True
Child and Adolescent Mental Health,https://openalex.org/S8329894,Child and Adolescent Mental Health,False
Advanced Intelligent Systems,https://openalex.org/S4210212817,Advanced Intelligent Systems,True
Wiley Interdisciplinary Reviews-Water,https://openalex.org/S2764490608,Wiley Interdisciplinary Reviews Water,False
Geochemical Perspectives,https://openalex.org/S2485902663,Geochemical Perspectives,True
Journal of the American Nutrition Association,https://openalex.org/S4210233975,Journal of the American Nutrition Association,False
BRITISH JOURNAL OF EDUCATIONAL TECHNOLOGY,https://openalex.org/S110346167,British Journal of Educational Technology,False
Smart Learning Environments,https://openalex.org/S2494786546,Smart Learning Environments,True
IEEE Transactions on Network Science and Engineering,https://openalex.org/S2484352698,IEEE Transactions on Network Science and Engineering,False
PHYTOMEDICINE,https://openalex.org/S180051340,Phytomedicine,False
GENETICS IN MEDICINE,https://openalex.org/S187186932,Genetics in Medicine,False
IEEE Journal of Biomedical and Health Informatics,https://openalex.org/S2495854775,IEEE Journal of Biomedical and Health Informatics,False
npj Parkinsons Disease,https://openalex.org/S2737664142,npj Parkinson s Disease,True
European Heart Journal-Cardiovascular Imaging,https://openalex.org/S64942916,European Heart Journal - Cardiovascular Imaging,False
Current Opinion in Environmental Science & Health,https://openalex.org/S2898239524,Current Opinion in Environmental Science & Health,False
OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE,https://openalex.org/S4210190151,Omega,False
GASTROINTESTINAL ENDOSCOPY,https://openalex.org/S28527816,Gastrointestinal Endoscopy,False
Journal of Tissue Engineering,https://openalex.org/S197468583,Journal of Tissue Engineering,True
TUNNELLING AND UNDERGROUND SPACE TECHNOLOGY,https://openalex.org/S139192911,Tunnelling and Underground Space Technology,False
JOURNAL OF CARDIAC FAILURE,https://openalex.org/S67869649,Journal of Cardiac Failure,False
DECISION SUPPORT SYSTEMS,https://openalex.org/S11479521,Decision Support Systems,False
Journal of Building Engineering,https://openalex.org/S2764478331,Journal of Building Engineering,False
R & D MANAGEMENT,https://openalex.org/S43637407,R and D Management,False
International Journal of Nanomedicine,https://openalex.org/S101287785,International Journal of Nanomedicine,True
Computers & Industrial Engineering,https://openalex.org/S196821226,Computers & Industrial Engineering,False
International Journal of Optomechatronics,https://openalex.org/S34211549,International Journal of Optomechatronics,True
MEDICAL JOURNAL OF AUSTRALIA,https://openalex.org/S13978405,The Medical Journal of Australia,False
Environmental Technology & Innovation,https://openalex.org/S2764865870,Environmental Technology & Innovation,True
JOURNAL OF MATERIALS PROCESSING TECHNOLOGY,https://openalex.org/S127530304,Journal of Materials Processing Technology,False
Materials Today Chemistry,https://openalex.org/S2898120712,Materials Today Chemistry,False
CLINICAL SCIENCE,https://openalex.org/S206649051,Clinical Science,False
Patterns,https://openalex.org/S4210198061,Patterns,True
PROGRESS IN NEUROBIOLOGY,https://openalex.org/S69289175,Progress in Neurobiology,False
Fuel,https://openalex.org/S164770093,Fuel,False
Journal of Science-Advanced Materials and Devices,https://openalex.org/S2764990209,Journal of Science Advanced Materials and Devices,True
JOURNAL OF INVESTIGATIONAL ALLERGOLOGY AND CLINICAL IMMUNOLOGY,https://openalex.org/S5906035,Journal of Investigational Allergology and Clinical Immunology,True
TRANSACTIONS OF TIANJIN UNIVERSITY,https://openalex.org/S110358141,Transactions of Tianjin University,False
ACS Environmental Au,https://openalex.org/S4210212071,ACS Environmental Au,True
ECONOMETRICA,https://openalex.org/S95464858,Econometrica,False
FERTILITY AND STERILITY,https://openalex.org/S45445671,Fertility and Sterility,False
Photonics Research,https://openalex.org/S2764698263,Photonics Research,False
PLANT PHYSIOLOGY,https://openalex.org/S42294715,PLANT PHYSIOLOGY,False
EPILEPSIA,https://openalex.org/S203153751,Epilepsia,False
Journal of Knowledge Management,https://openalex.org/S50631486,Journal of Knowledge Management,False
npj Quantum Information,https://openalex.org/S2738600312,npj Quantum Information,True
ALIMENTARY PHARMACOLOGY & THERAPEUTICS,https://openalex.org/S158079644,Alimentary Pharmacology & Therapeutics,False
IEEE TRANSACTIONS ON POWER ELECTRONICS,https://openalex.org/S29875816,IEEE Transactions on Power Electronics,False
Health Psychology Review,https://openalex.org/S111502347,Health Psychology Review,False
ACM TRANSACTIONS ON SOFTWARE ENGINEERING AND METHODOLOGY,https://openalex.org/S142627899,ACM Transactions on Software Engineering and Methodology,False
Journal of Behavioral Addictions,https://openalex.org/S2764456207,Journal of Behavioral Addictions,True
ECOLOGICAL ECONOMICS,https://openalex.org/S136211407,Ecological Economics,False
NEUROPSYCHOPHARMACOLOGY,https://openalex.org/S175030738,Neuropsychopharmacology,False
CLINICAL NUTRITION,https://openalex.org/S102860386,Clinical Nutrition,False
Evidence-Based Mental Health,https://openalex.org/S160517820,Evidence-Based Mental Health,False
Cell Chemical Biology,https://openalex.org/S4210231961,Cell chemical biology,False
RESPIROLOGY,https://openalex.org/S125119059,Respirology,False
npj Breast Cancer,https://openalex.org/S4210207747,npj Breast Cancer,True
CRITICAL REVIEWS IN CLINICAL LABORATORY SCIENCES,https://openalex.org/S76837745,Critical Reviews in Clinical Laboratory Sciences,False
ENERGY AND BUILDINGS,https://openalex.org/S6846437,Energy and Buildings,False
Journal of Genetics and Genomics,https://openalex.org/S54145736,Journal of genetics and genomics/Journal of Genetics and Genomics,False
International Journal of Neural Systems,https://openalex.org/S197665576,International Journal of Neural Systems,False
npj Materials Degradation,https://openalex.org/S4210234193,npj Materials Degradation,True
Current Opinion in Environmental Sustainability,https://openalex.org/S153840704,Current Opinion in Environmental Sustainability,False
APL Bioengineering,https://openalex.org/S4210206319,APL Bioengineering,True
Journal of Hazardous Materials Letters,https://openalex.org/S4210224131,Journal of Hazardous Materials Letters,True
CURRENT OPINION IN IMMUNOLOGY,https://openalex.org/S170047187,Current Opinion in Immunology,False
NEW CARBON MATERIALS,https://openalex.org/S131385101,New Carbon Materials,False
Big Data & Society,https://openalex.org/S2736409588,Big Data & Society,True
SOCIOLOGICAL METHODS & RESEARCH,https://openalex.org/S9536269,Sociological Methods & Research,False
IEEE TRANSACTIONS ON SOFTWARE ENGINEERING,https://openalex.org/S8351582,IEEE Transactions on Software Engineering,False
DRUG DELIVERY,https://openalex.org/S70174254,Drug Delivery,True
RESUSCITATION,https://openalex.org/S128507546,Resuscitation,False
INFORMATION SYSTEMS JOURNAL,https://openalex.org/S92260147,Information Systems Journal,False
Molecular Therapy Nucleic Acids,https://openalex.org/S2764969478,Molecular Therapy — Nucleic Acids,True
Circulation-Cardiovascular Imaging,https://openalex.org/S110626636,Circulation Cardiovascular Imaging,False
IEEE TRANSACTIONS ON POWER SYSTEMS,https://openalex.org/S201921491,IEEE Transactions on Power Systems,False
HABITAT INTERNATIONAL,https://openalex.org/S4210229294,Habitat International,False
JOURNAL OF CHILD PSYCHOLOGY AND PSYCHIATRY,https://openalex.org/S177929781,Journal of Child Psychology and Psychiatry,False
AMERICAN JOURNAL OF CLINICAL NUTRITION,https://openalex.org/S71285955,American Journal of Clinical Nutrition,False
Deutsches Arzteblatt International,https://openalex.org/S40230991,Deutsches Ärzteblatt international,False
STRATEGIC MANAGEMENT JOURNAL,https://openalex.org/S102949365,Strategic Management Journal,False
INTERNATIONAL JOURNAL OF SUSTAINABLE DEVELOPMENT AND WORLD ECOLOGY,https://openalex.org/S139505848,International Journal of Sustainable Development & World Ecology,False
SMALL BUSINESS ECONOMICS,https://openalex.org/S41869786,Small Business Economics,False
Food Chemistry-X,https://openalex.org/S4210189394,Food Chemistry X,True
ACS Photonics,https://openalex.org/S135184319,ACS Photonics,False
Case Studies in Construction Materials,https://openalex.org/S2764881959,Case Studies in Construction Materials,True
JOURNAL OF OPERATIONS MANAGEMENT,https://openalex.org/S142306484,Journal of Operations Management,False
OncoImmunology,https://openalex.org/S2497914550,OncoImmunology,True
Frontiers of Physics,https://openalex.org/S118523878,Frontiers of Physics,False
ADVANCES IN ATMOSPHERIC SCIENCES,https://openalex.org/S63270775,Advances in Atmospheric Sciences,False
Georisk-Assessment and Management of Risk for Engineered Systems and Geohazards,https://openalex.org/S186986228,Georisk Assessment and Management of Risk for Engineered Systems and Geohazards,False
