rank,journal_name,issn,eissn,url,source
1311,URBAN FORESTRY & URBAN GREENING,1618-8667,1610-8167,http://www.journals.elsevier.com/urban-forestry-and-urban-greening/,GoingPub-EISSN
1311,EUROPEAN CHILD & ADOLESCENT PSYCHIATRY,1018-8827,1435-165X,https://www.springer.com/787,GoingPub-EISSN
1311,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,0167-8809,1873-2305,http://www.elsevier.com/wps/find/journaldescription.cws_home/503298/description#description,GoingPub-EISSN
1311,HUMAN RESOURCE MANAGEMENT,0090-4848,1099-050X,https://www.shrm.org/,Journal.csv-ISSN
1311,GIScience & Remote Sensing,1548-1603,1943-7226,https://www.tandfonline.com/journals/tgrs20,GoingPub-EISSN
1311,THYROID,1050-7256,1557-9077,http://online.liebertpub.com/thy,GoingPub-EISSN
1311,Circulation-Genomic and Precision Medicine,2574-8300,2574-8300,https://www.ahajournals.org/journal/circgen,Journal.csv-ISSN
1311,NEURAL NETWORKS,0893-6080,1879-2782,http://www.elsevier.com/wps/find/journaldescription.cws_home/841/description,GoingPub-ISSN
1311,LAND USE POLICY,0264-8377,1873-5754,https://www.sciencedirect.com/journal/land-use-policy,Journal.csv-ISSN
1311,Gastric Cancer,1436-3291,1436-3305,https://www.springer.com/10120,GoingPub-ISSN
1311,EUROPEAN JOURNAL OF MEDICINAL CHEMISTRY,0223-5234,1768-3254,http://www.elsevier.com/wps/find/journaldescription.cws_home/505813/description,GoingPub-EISSN
1311,LIVER INTERNATIONAL,1478-3223,1478-3231,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1478-3231,GoingPub-EISSN
1311,Journal of Stroke,2287-6391,2287-6405,http://j-stroke.org/,GoingPub-EISSN
1311,AGE AND AGEING,0002-0729,1468-2834,https://academic.oup.com/ageing,GoingPub-EISSN
1311,EUROPEAN JOURNAL OF OPERATIONAL RESEARCH,0377-2217,1872-6860,http://www.elsevier.com/wps/find/journaldescription.cws_home/505543/description#description,GoingPub-EISSN
1311,LWT-FOOD SCIENCE AND TECHNOLOGY,0023-6438,1096-1127,http://www.elsevier.com/wps/find/journaldescription.cws_home/622910/description,GoingPub-EISSN
1311,Urban Climate,2212-0955,2212-0955,https://urban-climate.org/,Journal.csv-ISSN
1311,EPMA Journal,1878-5077,1878-5085,https://www.springer.com/13167,GoingPub-EISSN
1311,Internet of Things,2543-1536,2542-6605,https://www.internetsociety.org/iot/,Journal.csv-ISSN
1311,Petroleum Science,1672-5107,1995-8226,http://www.keaipublishing.com/en/journals/petroleum-science,GoingPub-EISSN
1311,Science China-Earth Sciences,1674-7313,1869-1897,https://www.springer.com/11430,GoingPub-EISSN
1311,Antioxidants,,2076-3921,https://www.mdpi.com/journal/antioxidants,GoingPub-EISSN
1311,MOLECULAR MEDICINE,1076-1551,1528-3658,https://molmed.biomedcentral.com,GoingPub-EISSN
1311,Cancer & Metabolism,,2049-3002,https://www.springer.com/journal/40170,GoingPub-EISSN
1311,Environmental Sciences Europe,2190-4707,2190-4715,https://www.springer.com/journal/12302,GoingPub-EISSN
1311,Solar RRL,2367-198X,2367-198X,https://onlinelibrary.wiley.com/journal/2367198X,Journal.csv-ISSN
1311,Solar Energy,0038-092X,1471-1257,http://www.elsevier.com/wps/find/journaldescription.cws_home/329/description#description,GoingPub-EISSN
1311,Materials Chemistry Frontiers,,2052-1537,https://www.rsc.org/publishing/journals/materials-chemistry-frontiers,API-Search (Score: 7)
1311,CURRENT OPINION IN CELL BIOLOGY,0955-0674,1879-0410,http://www.journals.elsevier.com/current-opinion-in-cell-biology/,GoingPub-ISSN
1311,CRITICAL REVIEWS IN PLANT SCIENCES,0735-2689,1549-7836,http://www.tandfonline.com/toc/bpts20/current#.UzuhHqLHmL0,GoingPub-EISSN
1311,Expert Opinion on Drug Discovery,1746-0441,1746-045X,http://www.tandfonline.com/toc/iedc20/current,GoingPub-EISSN
1311,CRITICAL REVIEWS IN MICROBIOLOGY,1040-841X,1549-7828,http://informahealthcare.com/loi/mby,GoingPub-EISSN
1355,AMERICAN POLITICAL SCIENCE REVIEW,0003-0554,1537-5943,https://www.cambridge.org/core/journals/american-political-science-review,Journal.csv-ISSN
1355,Journal of Orthopaedic Translation,2214-031X,2214-031X,https://www.journals.elsevier.com/journal-of-orthopaedic-translation,GoingPub-ISSN
1355,Annual Review of Analytical Chemistry,1936-1327,1936-1335,http://www.annualreviews.org/journal/anchem,GoingPub-EISSN
1355,PSYCHOLOGICAL MEDICINE,0033-2917,1469-8978,http://journals.cambridge.org/action/displayJournal?jid=PSM,GoingPub-EISSN
1355,JOURNAL OF INVESTIGATIVE DERMATOLOGY,0022-202X,1523-1747,http://www.jiaci.org/,GoingPub-EISSN
1355,TELECOMMUNICATIONS POLICY,0308-5961,1879-3258,http://www.journals.elsevier.com/telecommunications-policy/,GoingPub-EISSN
1355,PAIN,0304-3959,1872-6623,https://journals.lww.com/pain/pages/default.aspx,GoingPub-ISSN
1355,Globalization and Health,,1744-8603,https://www.springer.com/journal/12992,GoingPub-EISSN
1355,Agricultural Water Management,0378-3774,1873-2283,http://www.elsevier.com/wps/find/journaldescription.cws_home/503297/description#description,GoingPub-EISSN
1355,REVIEW OF ECONOMIC STUDIES,0034-6527,1467-937X,https://www.restud.com/,Journal.csv-ISSN
1355,JOURNAL OF BUSINESS ETHICS,0167-4544,1573-0697,https://www.springer.com/10551,GoingPub-EISSN
1355,BMJ Quality & Safety,2044-5415,2044-5423,http://qualitysafety.bmj.com/,GoingPub-EISSN
1355,Engineering Applications of Computational Fluid Mechanics,1994-2060,1997-003X,https://www.tandfonline.com/toc/tcfm20/current,GoingPub-EISSN
1355,Ecological Informatics,1574-9541,1878-0512,http://www.journals.elsevier.com/ecological-informatics/,GoingPub-EISSN
1355,IEEE Vehicular Technology Magazine,1556-6072,1556-6080,http://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=10209,GoingPub-EISSN
1355,JOURNAL OF ECONOMIC SURVEYS,0950-0804,1467-6419,https://onlinelibrary.wiley.com/journal/14676419,Journal.csv-ISSN
1355,Journal of Occupational Health Psychology,1076-8998,1939-1307,https://www.apa.org/pubs/journals/ocp,Journal.csv-ISSN
1355,Fluids and Barriers of the CNS,2045-8118,2045-8118,https://www.springer.com/journal/12987,GoingPub-ISSN
1355,Epidemiology and Psychiatric Sciences,2045-7960,2045-7979,https://www.cambridge.org/core/journals/epidemiology-and-psychiatric-sciences,GoingPub-EISSN
1355,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,0742-1222,1557-928X,http://www.jmis-web.org/,GoingPub-ISSN
1355,Journal of International Management,1075-4253,1873-0620,https://www.journals.elsevier.com/journal-of-international-management,GoingPub-EISSN
1355,Journal of Hydrology,0022-1694,1879-2707,http://www.elsevier.com/wps/find/journaldescription.cws_home/503343/description#description,GoingPub-EISSN
1355,Hepatology International,1936-0533,1936-0541,https://www.springer.com/12072,GoingPub-EISSN
1355,INTERNATIONAL JOURNAL OF PHYSICAL DISTRIBUTION & LOGISTICS MANAGEMENT,0960-0035,1758-664X,https://www.emerald.com/insight/publication/issn/0960-0035,Journal.csv-ISSN
1355,European Stroke Journal,2396-9873,2396-9881,https://journals.sagepub.com/home/eso,Journal.csv-ISSN
1355,Journal of Environmental Sciences,1001-0742,1878-7320,https://www.journals.elsevier.com/journal-of-environmental-sciences,GoingPub-EISSN
1355,LAB ANIMAL,0093-7355,1548-4475,https://www.nature.com/laban,GoingPub-EISSN
1355,CHINESE JOURNAL OF STRUCTURAL CHEMISTRY,0254-5861,0254-5861,http://manu30.magtech.com.cn/jghx/EN/volumn/current.shtml,GoingPub-ISSN
1355,International Business Review,0969-5931,1873-6149,https://www.journals.elsevier.com/international-business-review,GoingPub-EISSN
1355,REVIEWS IN FISH BIOLOGY AND FISHERIES,0960-3166,1573-5184,https://www.springer.com/11160,GoingPub-EISSN
1355,INTERNATIONAL JOURNAL OF RESEARCH IN MARKETING,0167-8116,1873-8001,https://www.sciencedirect.com/journal/international-journal-of-research-in-marketing,Journal.csv-ISSN
1355,Oncogenesis,2157-9024,2157-9024,http://www.nature.com/oncsis,GoingPub-ISSN
1355,European Journal of Internal Medicine,0953-6205,1879-0828,http://www.elsevier.com/wps/find/journaldescription.cws_home/620034/description,GoingPub-EISSN
1355,Internet Research,1066-2243,1066-2243,http://www.emeraldinsight.com/loi/intr,GoingPub-ISSN
1355,JOURNAL OF INTELLIGENT MANUFACTURING,0956-5515,1572-8145,https://www.springer.com/10845,GoingPub-EISSN
1355,AMERICAN JOURNAL OF RESPIRATORY CELL AND MOLECULAR BIOLOGY,1044-1549,1535-4989,https://www.atsjournals.org/journal/ajrcmb,GoingPub-EISSN
1355,Electronic Commerce Research and Applications,1567-4223,1873-7846,http://www.journals.elsevier.com/electronic-commerce-research-and-applications/,GoingPub-EISSN
1355,Biofilm,2590-2075,2590-2075,https://www.journals.elsevier.com/biofilm,DOAJ-ISSN
1355,Environmental Research Letters,1748-9326,1748-9326,http://iopscience.iop.org/journal/1748-9326,GoingPub-ISSN
1355,ANTIOXIDANTS & REDOX SIGNALING,1523-0864,1557-7716,http://www.liebertpub.com/overview/antioxidants-and-redox-signaling/4/,GoingPub-EISSN
1355,Stem Cell Reports,2213-6711,2213-6711,http://www.cell.com/stem-cell-reports/home,GoingPub-ISSN
1355,IEEE Transactions on Automation Science and Engineering,1545-5955,1558-3783,http://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=8856,GoingPub-EISSN
1355,Global Change Biology Bioenergy,1757-1693,1757-1707,http://onlinelibrary.wiley.com/journal/10.1111/%28ISSN%291757-1707,GoingPub-EISSN
1355,Journal of International Business Policy,2522-0691,2522-0705,http://www.palgrave.com/gp/journal/42214,Journal.csv-ISSN
1355,Neural Regeneration Research,1673-5374,1876-7958,http://www.nrronline.org/,GoingPub-EISSN
1355,Neuroscience Bulletin,1673-7067,1995-8218,https://www.springer.com/12264,GoingPub-EISSN
1355,Communications Chemistry,2399-3669,2399-3669,http://www.nature.com/commschem/,GoingPub-ISSN
1355,Journal of Saudi Chemical Society,1319-6103,2212-4640,http://www.journals.elsevier.com/journal-of-saudi-chemical-society/,GoingPub-EISSN
1355,Non-coding RNA Research,2468-2160,2468-0540,https://www.keaipublishing.com/en/journals/non-coding-rna-research/,DOAJ-EISSN
1355,Journal of Industrial and Engineering Chemistry,1226-086X,1876-794X,http://www.journals.elsevier.com/journal-of-industrial-and-engineering-chemistry/#description,GoingPub-EISSN
1355,FlatChem,2452-2627,2452-2627,https://www.journals.elsevier.com/flatchem,GoingPub-ISSN
1355,CELL PROLIFERATION,0960-7722,1365-2184,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1365-2184,GoingPub-EISSN
1355,NUTRITION REVIEWS,0029-6643,1753-4887,https://academic.oup.com/nutritionreviews,GoingPub-EISSN
1355,CURRENT OPINION IN MICROBIOLOGY,1369-5274,1879-0364,http://www.journals.elsevier.com/current-opinion-in-microbiology/,GoingPub-EISSN
1355,RIVISTA DEL NUOVO CIMENTO,0393-697X,1826-9850,https://www.springer.com/40766,GoingPub-EISSN
1355,Journal of Lipids,2090-3030,2090-3049,https://www.hindawi.com/journals/jl,GoingPub-EISSN
1411,JOURNAL OF CLINICAL PERIODONTOLOGY,0303-6979,1600-051X,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-051X,GoingPub-EISSN
1411,OBSTETRICS AND GYNECOLOGY,0029-7844,0029-7844,http://journals.lww.com/greenjournal/pages/default.aspx,GoingPub-ISSN
1411,Journal of Tourism Futures,2055-5911,2055-592X,http://www.emeraldgrouppublishing.com/services/publishing/jtf/index.htm,GoingPub-EISSN
1411,Current Opinion in Insect Science,2214-5745,2214-5753,http://www.journals.elsevier.com/current-opinion-in-insect-science/,GoingPub-EISSN
1411,BRAIN PATHOLOGY,1015-6305,1750-3639,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1750-3639,GoingPub-EISSN
1411,Scientific Data,,2052-4463,http://www.nature.com/sdata/,GoingPub-EISSN
1411,JOURNAL OF MEDICAL INTERNET RESEARCH,1438-8871,,http://www.jmir.org/,GoingPub-ISSN
1411,Landslides,1612-510X,1612-5118,https://www.springer.com/10346,GoingPub-EISSN
1411,Translational Psychiatry,2158-3188,2158-3188,http://www.nature.com/tp/,GoingPub-ISSN
1411,BUSINESS HORIZONS,0007-6813,1873-6068,https://www.sciencedirect.com/journal/business-horizons,Journal.csv-ISSN
1411,TRANSPORTATION RESEARCH PART B-METHODOLOGICAL,0191-2615,1879-2367,http://www.sciencedirect.com/science/journal/01912615,GoingPub-EISSN
1411,INTEGRATED COMPUTER-AIDED ENGINEERING,1069-2509,1875-8835,http://content.iospress.com/journals/integrated-computer-aided-engineering/Preprint/Preprint,GoingPub-EISSN
1411,Marine Life Science & Technology,2096-6490,2662-1746,https://link.springer.com/journal/42995,Journal.csv-ISSN
1411,Vehicular Communications,2214-2096,2214-2096,https://www.journals.elsevier.com/vehicular-communications,GoingPub-ISSN
1411,JOURNAL OF EXPERIMENTAL BOTANY,0022-0957,1460-2431,https://academic.oup.com/jxb,GoingPub-EISSN
1411,Advances in Wound Care,2162-1918,2162-1934,https://home.liebertpub.com/publications/advances-in-wound-care/605/overview,GoingPub-EISSN
1411,CANADIAN JOURNAL OF CARDIOLOGY,0828-282X,1916-7075,http://www.onlinecjc.ca/,GoingPub-EISSN
1411,Journal of the European Ceramic Society,0955-2219,1873-619X,http://www.elsevier.com/wps/find/journaldescription.cws_home/405935/description#description,GoingPub-EISSN
1411,EPJ Quantum Technology,2662-4400,2196-0763,https://www.springer.com/journal/40507,GoingPub-EISSN
1411,Soil,2199-3971,2199-398X,https://www.soil-journal.net/,GoingPub-EISSN
1411,Combustion and Flame,0010-2180,1556-2921,http://www.elsevier.com/wps/find/journaldescription.cws_home/505736/description#description,GoingPub-EISSN
1411,Journal of Alloys and Compounds,0925-8388,1873-4669,http://ees.elsevier.com/jalcom/,GoingPub-EISSN
1411,United European Gastroenterology Journal,2050-6406,2050-6414,http://ueg.sagepub.com/,GoingPub-EISSN
1411,EUROPEAN POLYMER JOURNAL,0014-3057,1873-1945,http://www.elsevier.com/wps/find/journaldescription.cws_home/294/description#description,GoingPub-EISSN
1411,JOURNAL OF INFORMATION TECHNOLOGY,0268-3962,1466-4437,http://www.springer.com/business+%26+management/journal/41265,GoingPub-EISSN
1411,Neuromorphic Computing and Engineering,,2634-4386,https://iopscience.iop.org/journal/2634-4386,DOAJ-EISSN
1411,JOURNAL OF ANALYTICAL AND APPLIED PYROLYSIS,0165-2370,1873-250X,http://www.elsevier.com/wps/find/journaldescription.cws_home/502687/description#description,GoingPub-EISSN
1411,BIOMASS & BIOENERGY,0961-9534,1873-2909,http://www.elsevier.com/wps/find/journaldescription.cws_home/986/description#description,GoingPub-EISSN
1411,Environmental Science-Nano,2051-8153,2051-8161,http://pubs.rsc.org/en/Journals/JournalIssues/en#!issueid=en003004&type=current&issnprint=2051-8153,GoingPub-ISSN
1411,Epilepsy Currents,1535-7597,1535-7511,http://epilepsycurrents.org/,GoingPub-EISSN
1411,Nanoscale,2040-3364,2040-3372,http://pubs.rsc.org/en/journals/journalissues/nr,GoingPub-EISSN
1411,Biomaterials Science,2047-4830,2047-4849,http://pubs.rsc.org/en/Journals/JournalIssues/bm#!recentarticles&adv,GoingPub-EISSN
1411,APPLIED RHEOLOGY,1430-6395,1617-8106,http://appliedrheology.org/,GoingPub-EISSN
1411,AMBIO,0044-7447,1654-7209,https://www.springer.com/13280,GoingPub-EISSN
1411,Green Chemistry Letters and Reviews,1751-8253,1751-7192,http://www.tandfonline.com/toc/tgcl20/current,GoingPub-EISSN
1411,Energy and Climate Change,,2666-2787,https://www.journals.elsevier.com/energy-and-climate-change,Sources.tsv-EISSN
1447,ANNALS OF MATHEMATICS,0003-486X,1939-8980,http://annals.math.princeton.edu/,GoingPub-EISSN
1447,Policy and Society,1449-4035,1839-3373,http://www.tandfonline.com/RPAS,GoingPub-EISSN
1447,JOURNAL OF DENTAL RESEARCH,0022-0345,1544-0591,http://jdr.sagepub.com/,GoingPub-ISSN
1447,JOURNAL OF URBAN ECONOMICS,0094-1190,1095-9068,https://www.journals.elsevier.com/journal-of-urban-economics,GoingPub-EISSN
1447,INTERNATIONAL JOURNAL OF ENGINEERING SCIENCE,0020-7225,1879-2197,http://www.elsevier.com/wps/find/journaldescription.cws_home/278/description#description,GoingPub-EISSN
1447,ACCIDENT ANALYSIS AND PREVENTION,0001-4575,1879-2057,https://www.journals.elsevier.com/accident-analysis-and-prevention,GoingPub-EISSN
1447,EUROPEAN JOURNAL OF VASCULAR AND ENDOVASCULAR SURGERY,1078-5884,1532-2165,http://www.ejves.com/,GoingPub-EISSN
1447,Journal of Transport Geography,0966-6923,1873-1236,https://www.journals.elsevier.com/journal-of-transport-geography,GoingPub-EISSN
1447,Horticultural Plant Journal,2095-9885,2468-0141,https://www.journals.elsevier.com/horticultural-plant-journal,GoingPub-EISSN
1447,Current Issues in Tourism,1368-3500,1747-7603,https://www.tandfonline.com/toc/rcit20/current,GoingPub-EISSN
1447,DEVELOPMENTAL REVIEW,0273-2297,1090-2406,https://www.journals.elsevier.com/developmental-review,GoingPub-EISSN
1447,Kidney International Reports,2468-0249,2468-0249,http://www.journals.elsevier.com/kidney-international-reports/,GoingPub-ISSN
1447,STRUCTURAL HEALTH MONITORING-AN INTERNATIONAL JOURNAL,1475-9217,1741-3168,http://shm.sagepub.com/,GoingPub-EISSN
1447,Journal of Risk Finance,1526-5943,2331-2947,https://www.emerald.com/insight/publication/issn/1526-5943,Journal.csv-ISSN
1447,BREAST,0960-9776,1532-3080,http://www.journals.elsevier.com/the-breast/,GoingPub-EISSN
1447,Japanese Dental Science Review,1882-7616,2213-6851,https://www.journals.elsevier.com/japanese-dental-science-review,GoingPub-EISSN
1447,Biological Psychiatry-Cognitive Neuroscience and Neuroimaging,2451-9022,2451-9030,https://www.journals.elsevier.com/biological-psychiatry-cognitive-neuroscience-and-neuroimaging,GoingPub-EISSN
1447,Information and Organization,1471-7727,1873-7919,https://www.journals.elsevier.com/information-and-organization,GoingPub-EISSN
1447,THIN-WALLED STRUCTURES,0263-8231,1879-3223,http://www.journals.elsevier.com/thin-walled-structures/,GoingPub-EISSN
1447,Analytica Chimica Acta,0003-2670,1873-4324,http://www.elsevier.com/wps/find/journaldescription.cws_home/502681/description#description,GoingPub-EISSN
1447,HYDROLOGY AND EARTH SYSTEM SCIENCES,1027-5606,1607-7938,http://www.hydrology-and-earth-system-sciences.net/home.html,GoingPub-EISSN
1447,Journal of Modern Power Systems and Clean Energy,2196-5625,2196-5420,https://www.springer.com/journal/40565,GoingPub-EISSN
1447,BioScience Trends,1881-7815,1881-7823,http://biosciencetrends.com/,GoingPub-EISSN
1447,Diabetes Technology & Therapeutics,1520-9156,1557-8593,http://www.liebertpub.com/overview/diabetes-technology-and-therapeutics/11/,GoingPub-EISSN
1447,International Journal of Fatigue,0142-1123,1879-3452,http://www.elsevier.com/wps/find/journaldescription.cws_home/30433/description#description,GoingPub-EISSN
1447,Annals of Intensive Care,2110-5820,2110-5820,https://www.springer.com/journal/13613,GoingPub-ISSN
1447,Current Rheumatology Reports,1523-3774,1534-6307,https://www.springer.com/11926,GoingPub-EISSN
1447,MEAT SCIENCE,0309-1740,1873-4138,http://www.elsevier.com/wps/find/journaldescription.cws_home/405866/description#description,GoingPub-ISSN
1447,Drug Delivery and Translational Research,2190-393X,2190-3948,https://www.springer.com/13346,GoingPub-EISSN
1447,IEEE Open Journal of the Computer Society,,2644-1268,https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=8782664,DOAJ-EISSN
1447,JOURNAL OF AGRICULTURAL AND FOOD CHEMISTRY,0021-8561,1520-5118,http://pubs.acs.org/journal/jafcau,GoingPub-EISSN
1447,Applied Water Science,2190-5487,2190-5495,http://www.springer.com/13201,GoingPub-EISSN
1447,Global Strategy Journal,2042-5791,2042-5805,https://onlinelibrary.wiley.com/journal/20425805,Journal.csv-ISSN
1447,Journal of Chemical Information and Modeling,1549-9596,1549-960X,http://pubs.acs.org/journal/jcisd8,GoingPub-EISSN
1447,Science of Remote Sensing,2666-0172,2666-0172,https://www.sciencedirect.com/journal/science-of-remote-sensing,DOAJ-ISSN
1447,Biology Direct,,1745-6150,http://biologydirect.biomedcentral.com,GoingPub-EISSN
1447,Environmental Innovation and Societal Transitions,2210-4224,2210-4232,https://www.journals.elsevier.com/environmental-innovation-and-societal-transitions,GoingPub-ISSN
1447,STRUCTURAL SAFETY,0167-4730,1879-3355,http://www.journals.elsevier.com/structural-safety/,GoingPub-EISSN
1447,JOURNAL OF CONSUMER RESEARCH,0093-5301,1537-5277,https://consumerresearcher.com/,Journal.csv-ISSN
1447,Journal of Chemical Theory and Computation,1549-9618,1549-9626,http://pubs.acs.org/journal/jctcce,GoingPub-EISSN
1447,INTERNATIONAL JOURNAL OF CANCER,0020-7136,1097-0215,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1097-0215,GoingPub-EISSN
1447,NPJ Schizophrenia,,2334-265X,http://www.nature.com/npjschz,GoingPub-EISSN
1447,Surfaces and Interfaces,2468-0230,2468-0230,https://www.journals.elsevier.com/surfaces-and-interfaces,GoingPub-ISSN
1447,INTERNATIONAL JOURNAL OF MOLECULAR MEDICINE,1107-3756,1791-244X,http://www.spandidos-publications.com/ijmm/,GoingPub-EISSN
1447,Current Opinion in Virology,1879-6257,1879-6265,http://www.journals.elsevier.com/current-opinion-in-virology/,GoingPub-EISSN
1447,Journal of Materials Chemistry C,2050-7526,2050-7534,http://www.rsc.org/Publishing/Journals/TC/,Sources.tsv-ISSN
1447,Fundamental Research,2096-9457,2667-3258,https://www.keaipublishing.com/en/journals/fundamental-research/,DOAJ-EISSN
1447,Journal of Biological Engineering,1754-1611,1754-1611,https://www.springer.com/journal/13036,GoingPub-ISSN
1447,Fungal Biology Reviews,1749-4613,1878-0253,http://www.journals.elsevier.com/fungal-biology-reviews/,GoingPub-EISSN
1447,Current Atherosclerosis Reports,1523-3804,1534-6242,https://www.springer.com/11883,GoingPub-EISSN
1447,Frontiers in Immunology,1664-3224,1664-3224,http://journal.frontiersin.org/journal/immunology,GoingPub-ISSN
1447,Regenerative Biomaterials,2056-3418,2056-3426,https://academic.oup.com/rb,GoingPub-EISSN
1447,JOURNAL OF THE ENERGY INSTITUTE,1743-9671,1746-0220,http://www.journals.elsevier.com/journal-of-the-energy-institute/,GoingPub-EISSN
1447,ACS Materials Au,2694-2461,2694-2461,https://pubs.acs.org/journal/amacgu,DOAJ-ISSN
1447,CRITICAL REVIEWS IN TOXICOLOGY,1040-8444,1547-6898,http://informahealthcare.com/loi/txc,GoingPub-EISSN
1502,International Journal of STEM Education,2196-7822,2196-7822,https://www.springer.com/journal/40594,GoingPub-ISSN
1502,ENTOMOLOGIA GENERALIS,0171-8177,2363-7102,http://www.schweizerbart.de/journals/entomologia,GoingPub-EISSN
1502,FISH AND FISHERIES,1467-2960,1467-2979,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-2979,GoingPub-EISSN
1502,JOURNAL OF EDUCATIONAL PSYCHOLOGY,0022-0663,1939-2176,https://www.apa.org/pubs/journals/edu,Journal.csv-ISSN
1502,FIELD CROPS RESEARCH,0378-4290,1872-6852,http://www.elsevier.com/wps/find/journaldescription.cws_home/503308/description#description,GoingPub-EISSN
1502,AGRICULTURAL AND FOREST METEOROLOGY,0168-1923,1873-2240,http://www.elsevier.com/wps/find/journaldescription.cws_home/503295/description#description,GoingPub-EISSN
1502,JOURNAL OF PATHOLOGY,0022-3417,1096-9896,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1096-9896,GoingPub-ISSN
1502,American Economic Journal-Economic Policy,1945-7731,1945-774X,https://www.aeaweb.org/journals/pol,Journal.csv-ISSN
1502,Review of Finance,1572-3097,1573-692X,https://academic.oup.com/rof,GoingPub-EISSN
1502,Quantum Science and Technology,2058-9565,2058-9565,https://iopscience.iop.org/journal/2058-9565,GoingPub-ISSN
1502,International Journal of Behavioral Nutrition and Physical Activity,,1479-5868,http://ijbnpa.biomedcentral.com,GoingPub-EISSN
1502,Acta Physiologica,1748-1708,1748-1716,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1748-1716,GoingPub-EISSN
1502,IEEE TRANSACTIONS ON PARALLEL AND DISTRIBUTED SYSTEMS,1045-9219,1558-2183,http://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=71,GoingPub-EISSN
1502,IRBM,1959-0318,1876-0988,http://www.journals.elsevier.com/irbm/,GoingPub-EISSN
1502,Food Science and Human Wellness,,2213-4530,http://www.journals.elsevier.com/food-science-and-human-wellness/,GoingPub-EISSN
1502,Emerging Markets Review,1566-0141,1873-6173,https://www.sciencedirect.com/journal/emerging-markets-review,Journal.csv-ISSN
1502,HEART RHYTHM,1547-5271,1556-3871,http://www.heartrhythmjournal.com/,GoingPub-EISSN
1502,Cambridge Journal of Regions Economy and Society,1752-1378,1752-1386,https://academic.oup.com/cjres,Journal.csv-ISSN
1502,TALANTA,0039-9140,1873-3573,http://www.elsevier.com/wps/find/journaldescription.cws_home/525438/description#description,GoingPub-EISSN
1502,Acta Geotechnica,1861-1125,1861-1133,https://www.springer.com/11440,GoingPub-EISSN
1502,IEEE Industrial Electronics Magazine,1932-4529,1941-0115,http://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=4154573,GoingPub-EISSN
1502,INDUSTRIAL CROPS AND PRODUCTS,0926-6690,1872-633X,http://www.elsevier.com/wps/find/journaldescription.cws_home/522825/description,GoingPub-EISSN
1502,Geoderma,0016-7061,1872-6259,http://www.elsevier.com/wps/find/journaldescription.cws_home/503332/description#description,GoingPub-EISSN
1502,JOURNAL OF ENZYME INHIBITION AND MEDICINAL CHEMISTRY,1475-6366,1475-6374,http://www.tandfonline.com/loi/ienz20,GoingPub-EISSN
1502,Neurotherapeutics,1933-7213,1878-7479,https://www.springer.com/13311,GoingPub-EISSN
1502,IEEE TRANSACTIONS ON INSTRUMENTATION AND MEASUREMENT,0018-9456,1557-9662,http://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=19,GoingPub-EISSN
1502,JOURNAL DER DEUTSCHEN DERMATOLOGISCHEN GESELLSCHAFT,1610-0379,1610-0387,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1610-0387,GoingPub-EISSN
1502,mAbs,1942-0862,1942-0870,https://www.landesbioscience.com/journals/mabs/,GoingPub-EISSN
1502,IEEE INTELLIGENT SYSTEMS,1541-1672,1941-1294,http://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=9670,GoingPub-EISSN
1502,WORK AND STRESS,0267-8373,1464-5335,http://www.osha.gov/workplace-stress,Journal.csv-ISSN
1502,FOOD CONTROL,0956-7135,1873-7129,http://www.elsevier.com/wps/find/journaldescription.cws_home/30418/description#description,GoingPub-EISSN
1502,ENGINEERING STRUCTURES,0141-0296,1873-7323,http://www.elsevier.com/wps/find/journaldescription.cws_home/30415/description#description,GoingPub-EISSN
1502,IEEE Circuits and Systems Magazine,1531-636X,1558-0830,http://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=7384,GoingPub-EISSN
1502,FORTSCHRITTE DER PHYSIK-PROGRESS OF PHYSICS,0015-8208,1521-3978,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1521-3978,GoingPub-EISSN
1502,Food Security,1876-4517,1876-4525,https://www.springer.com/12571,GoingPub-EISSN
1502,Hepatology Communications,,2471-254X,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)2471-254X,GoingPub-EISSN
